name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Houston	, Texas",2022-10-31,77.2,63.3,69.4,77.2,63.3,69.4,53.1,57.7,0,0,0,,0,0,10.1,10.7,139.5,1016,45,9.9,110.5,9.6,6,10,2022-10-31T07:34:20,2022-10-31T18:35:26,0.22,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"KHOU,72059400188,KIAH,KMCJ,72244012918,72243012960,D0326"
"Houston	, Texas",2022-11-01,67.4,62.6,64.5,67.4,62.6,64.5,60.5,87.2,0.27,100,45.83,rain,0,0,47.2,27.7,113.1,1019.6,75.2,7.5,21.4,1.9,1,10,2022-11-01T07:35:06,2022-11-01T18:34:38,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"KHOU,72059400188,KIAH,KMCJ,72244012918,72243012960,D0326"
"Houston	, Texas",2022-11-02,75.5,60.9,67.4,75.5,60.9,67.4,60.9,80.4,0,0,0,,0,0,21.5,14.5,90.6,1021.2,87,9.6,79.7,6.7,4,10,2022-11-02T07:35:51,2022-11-02T18:33:51,0.29,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KHOU,72059400188,KIAH,KMCJ,72244012918,72243012960,D0326"
"Houston	, Texas",2022-11-03,82.7,70,75.4,87.1,70,76.1,70.4,85.4,0,0,0,,0,0,26.4,17.8,134.9,1017.8,88.1,7.2,73.7,6.3,4,60,2022-11-03T07:36:37,2022-11-03T18:33:05,0.33,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KHOU,72059400188,KIAH,KMCJ,72244012918,72243012960,D0326"
"Houston	, Texas",2022-11-04,82.6,71.7,77,88.6,71.7,78.6,72.8,87.4,0.032,100,16.67,rain,0,0,35.6,23.9,156.3,1011.8,92.2,7.7,60.4,5.2,3,75,2022-11-04T07:37:24,2022-11-04T18:32:20,0.37,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain.,rain,"KHOU,72059400188,KIAH,KMCJ,72244012918,72243012960,D0326"
"Houston	, Texas",2022-11-05,77.3,59.3,65.2,77.3,59.3,65.2,53,67.3,0.35,100,20.83,rain,0,0,32,20.5,96.1,1012.7,71.3,9.4,108.6,9.4,7,60,2022-11-05T07:38:11,2022-11-05T18:31:36,0.4,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"KHOU,72059400188,KIAH,KMCJ,72244012918,72243012960,D0326"
"Houston	, Texas",2022-11-06,84.4,63.8,73.9,90,63.8,75.3,68,82.6,0,0,0,,0,0,31.1,20.5,145.2,1013.3,88.9,9,76.3,7,5,75,2022-11-06T06:38:58,2022-11-06T17:30:54,0.44,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KHOU,72059400188,KIAH,KMCJ,72244012918,72243012960,D0326"
"Houston	, Texas",2022-11-07,84.3,71.5,76.3,87.7,71.5,77.4,70.6,83.7,0,0,0,,0,0,20,11.4,123,1019.9,63.3,7.8,107.7,9.3,6,60,2022-11-07T06:39:45,2022-11-07T17:30:14,0.47,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KHOU,72059400188,KIAH,KMCJ,72244012918,72243012960,D0326"
"Houston	, Texas",2022-11-08,84.3,71.2,75.6,84.2,71.2,75.9,66.3,75,0,0,0,,0,0,27.7,20,120.7,1021.9,38.1,9.2,108,9.3,7,30,2022-11-08T06:40:33,2022-11-08T17:29:35,0.5,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"KHOU,72059400188,KIAH,KMCJ,72244012918,72243012960,D0326"
"Houston	, Texas",2022-11-09,82.6,69.4,74.8,84.7,69.4,75.2,66.1,76,0,0,0,,0,0,24.2,17.7,123.3,1019.7,32.5,9.2,81.2,7.1,6,30,2022-11-09T06:41:21,2022-11-09T17:28:57,0.54,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KHOU,72059400188,KIAH,KMCJ,72244012918,72243012960,D0326"
"Houston	, Texas",2022-11-10,80.6,67.8,72.6,81.9,67.8,72.8,65.2,79.2,0,0,0,,0,0,18.3,13.5,133.1,1012.8,47,8.1,108.7,9.5,6,10,2022-11-10T06:42:10,2022-11-10T17:28:20,0.57,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KHOU,72059400188,KIAH,KMCJ,72244012918,72243012960,D0326"
"Houston	, Texas",2022-11-11,80.6,47.2,68.3,82.8,39.7,68.1,63.2,84.4,0.533,100,37.5,rain,0,0,36.1,24.2,265.7,1010.2,68.3,7.9,59.2,5.1,4,75,2022-11-11T06:42:58,2022-11-11T17:27:45,0.61,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"KHOU,72059400188,KIAH,KMCJ,72244012918,72243012960,D0326"
"Houston	, Texas",2022-11-12,56.1,42.9,48.8,56.1,33.5,44.3,34.1,59.8,0.017,100,4.17,rain,0,0,38.4,23.9,344.7,1021,29.9,9.9,127.3,11.1,7,10,2022-11-12T06:43:47,2022-11-12T17:27:12,0.64,"Rain, Partially cloudy",Clearing in the afternoon with early morning rain.,rain,"KHOU,72059400188,KIAH,KMCJ,72244012918,72243012960,D0326"
